;ProductId,RN,price,begintime, endtime, Totalcount, PersonalCount,PersonalDailyCount, saleRate, SaleBeginTime, SaleEndtime, tag, ItemID1,num1,day1,ItemID2,num2,day2,ItemID3,num3,day3,ItemID4,num4,day4,ItemID5,num5,day5
24112701,2796,5000,2024-12-04 4:00,2024-12-23 23:00,0,0,5,0,0,0,64,2796,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25021901,2711,500,0,0,0,0,5,0,0,0,64,2711,10,0,0,0,0,0,0,0,0,0,0,0,0,0
25021902,59,200,0,0,0,0,1,0,0,0,64,59,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25021903,8623,100,0,0,0,0,1,0,0,0,64,8623,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25021904,8195,200,0,0,0,0,1,0,0,0,64,8195,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25021905,8196,200,0,0,0,0,1,0,0,0,64,8196,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25021906,8167,100,0,0,0,0,1,0,0,0,68,8167,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25021907,944,100,0,0,0,0,1,0,0,0,68,944,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25021908,943,100,0,0,0,0,1,0,0,0,68,943,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25021909,8084,100,0,0,0,0,1,0,0,0,68,8084,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25021910,8085,100,0,0,0,0,1,0,0,0,68,8085,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25021911,8107,100,0,0,0,0,1,0,0,0,68,8107,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25021912,1056,100,0,0,0,0,1,0,0,0,68,1056,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25021913,1055,100,0,0,0,0,1,0,0,0,68,1055,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25021914,8135,100,0,0,0,0,1,0,0,0,68,8135,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25021915,8134,100,0,0,0,0,1,0,0,0,68,8134,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25021916,8566,1000,0,0,0,0,5,0,0,0,68,8566,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25021917,8481,2000,0,0,0,0,1,0,0,0,68,8481,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25021918,5250,500,0,0,0,0,0,0,0,0,1,5250,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25021919,5250,5000,0,0,0,0,0,0,0,0,1,5250,10,0,0,0,0,0,0,0,0,0,0,0,0,0
25021920,65,15000,0,0,1000,1,0,0,0,0,68,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25021921,8044,10000,0,0,0,0,0,0,0,0,1,8044,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25021922,8324,9000,0,0,0,0,0,0,0,0,1,8324,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25021923,8325,15000,0,0,0,0,0,0,0,0,1,8325,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25021924,8326,30000,0,0,0,0,0,0,0,0,1,8326,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25021925,91,5000,0,0,0,0,0,0,0,0,4,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25021926,94,5000,0,0,0,0,0,0,0,0,4,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25021927,455,500,0,0,0,0,0,0,0,0,4,455,1,7,0,0,0,0,0,0,0,0,0,0,0,0
25021928,455,1500,0,0,0,0,0,0,0,0,4,455,1,30,0,0,0,0,0,0,0,0,0,0,0,0
